1 7 1993 yesterday = 1 today = 4, day mismatch
1 6 1994 yesterday = 2 today = 1, day mismatch
1 7 1994 yesterday = 2 today = 5, day mismatch
1 6 1995 yesterday = 3 today = 2, day mismatch
1 7 1995 yesterday = 3 today = 6, day mismatch
1 6 1996 yesterday = 5 today = 4, day mismatch
1 7 1996 yesterday = 5 today = 1, day mismatch
1 6 1997 yesterday = 6 today = 5, day mismatch
1 7 1997 yesterday = 6 today = 2, day mismatch
1 6 1998 yesterday = 7 today = 6, day mismatch
1 7 1998 yesterday = 7 today = 3, day mismatch
1 6 1999 yesterday = 1 today = 7, day mismatch
1 7 1999 yesterday = 1 today = 4, day mismatch
1 6 2000 yesterday = 3 today = 2, day mismatch
1 7 2000 yesterday = 3 today = 6, day mismatch
1 6 2001 yesterday = 4 today = 3, day mismatch
1 7 2001 yesterday = 4 today = 7, day mismatch
1 6 2002 yesterday = 5 today = 4, day mismatch
1 7 2002 yesterday = 5 today = 1, day mismatch
1 1 2003 yesterday = 2 today = 7, day mismatch
1 6 2003 yesterday = 3 today = 2, day mismatch
1 7 2003 yesterday = 3 today = 6, day mismatch
1 1 2004 yesterday = 7 today = 4, day mismatch
1 6 2004 yesterday = 1 today = 7, day mismatch
1 7 2004 yesterday = 1 today = 4, day mismatch
1 6 2005 yesterday = 2 today = 1, day mismatch
1 7 2005 yesterday = 2 today = 5, day mismatch
1 6 2006 yesterday = 3 today = 2, day mismatch
1 7 2006 yesterday = 3 today = 6, day mismatch
1 6 2007 yesterday = 4 today = 3, day mismatch
1 7 2007 yesterday = 4 today = 7, day mismatch
1 6 2008 yesterday = 6 today = 5, day mismatch
1 7 2008 yesterday = 6 today = 2, day mismatch
1 6 2009 yesterday = 7 today = 6, day mismatch
1 7 2009 yesterday = 7 today = 3, day mismatch
1 6 2010 yesterday = 1 today = 7, day mismatch
1 7 2010 yesterday = 1 today = 4, day mismatch
1 6 2011 yesterday = 2 today = 1, day mismatch
1 7 2011 yesterday = 2 today = 5, day mismatch
1 6 2012 yesterday = 4 today = 3, day mismatch
1 7 2012 yesterday = 4 today = 7, day mismatch
1 6 2013 yesterday = 5 today = 4, day mismatch
1 7 2013 yesterday = 5 today = 1, day mismatch
1 6 2014 yesterday = 6 today = 5, day mismatch
1 7 2014 yesterday = 6 today = 2, day mismatch
1 6 2015 yesterday = 7 today = 6, day mismatch
1 7 2015 yesterday = 7 today = 3, day mismatch
1 6 2016 yesterday = 2 today = 1, day mismatch
1 7 2016 yesterday = 2 today = 5, day mismatch
1 6 2017 yesterday = 3 today = 2, day mismatch
1 7 2017 yesterday = 3 today = 6, day mismatch
1 6 2018 yesterday = 4 today = 3, day mismatch
1 7 2018 yesterday = 4 today = 7, day mismatch
1 6 2019 yesterday = 5 today = 4, day mismatch
1 7 2019 yesterday = 5 today = 1, day mismatch
